125 	Avg Reward:  0.16845703125 	 Loss:  4.500307559967041 	 Wins:  0.8733624454148472 	 Epsilon_actor:  0.5314410000000002 	 Epsilon_critic:  0.47829690000000014
126 	Avg Reward:  0.15283203125 	 Loss:  5.1778388023376465 	 Wins:  0.0 	 Epsilon_actor:  0.5314410000000002 	 Epsilon_critic:  0.47829690000000014
127 	Avg Reward:  0.1689453125 	 Loss:  4.200056076049805 	 Wins:  0.0 	 Epsilon_actor:  0.5314410000000002 	 Epsilon_critic:  0.47829690000000014
128 	Avg Reward:  0.14599609375 	 Loss:  4.155397415161133 	 Wins:  0.411522633744856 	 Epsilon_actor:  0.5314410000000002 	 Epsilon_critic:  0.47829690000000014
129 	Avg Reward:  0.1455078125 	 Loss:  4.8030619621276855 	 Wins:  0.0 	 Epsilon_actor:  0.5314410000000002 	 Epsilon_critic:  0.47829690000000014
130 	Avg Reward:  0.16796875 	 Loss:  4.408995628356934 	 Wins:  0.43859649122807015 	 Epsilon_actor:  0.5314410000000002 	 Epsilon_critic:  0.47829690000000014
131 	Avg Reward:  0.130859375 	 Loss:  4.400676727294922 	 Wins:  0.0 	 Epsilon_actor:  0.5314410000000002 	 Epsilon_critic:  0.47829690000000014
132 	Avg Reward:  0.16796875 	 Loss:  5.247079849243164 	 Wins:  0.43859649122807015 	 Epsilon_actor:  0.5314410000000002 	 Epsilon_critic:  0.47829690000000014
133 	Avg Reward:  0.1328125 	 Loss:  3.9371817111968994 	 Wins:  0.3968253968253968 	 Epsilon_actor:  0.5314410000000002 	 Epsilon_critic:  0.47829690000000014
134 	Avg Reward:  0.16259765625 	 Loss:  3.860816240310669 	 Wins:  0.8583690987124464 	 Epsilon_actor:  0.5314410000000002 	 Epsilon_critic:  0.47829690000000014
135 	Avg Reward:  0.1640625 	 Loss:  3.600339651107788 	 Wins:  0.8620689655172413 	 Epsilon_actor:  0.5314410000000002 	 Epsilon_critic:  0.47829690000000014
136 	Avg Reward:  0.1357421875 	 Loss:  3.1643242835998535 	 Wins:  0.4 	 Epsilon_actor:  0.5314410000000002 	 Epsilon_critic:  0.47829690000000014
137 	Avg Reward:  0.14404296875 	 Loss:  3.9042441844940186 	 Wins:  0.0 	 Epsilon_actor:  0.5314410000000002 	 Epsilon_critic:  0.47829690000000014
138 	Avg Reward:  0.17529296875 	 Loss:  5.010078430175781 	 Wins:  0.4484304932735426 	 Epsilon_actor:  0.5314410000000002 	 Epsilon_critic:  0.47829690000000014
139 	Avg Reward:  0.1513671875 	 Loss:  3.716099500656128 	 Wins:  0.0 	 Epsilon_actor:  0.5314410000000002 	 Epsilon_critic:  0.47829690000000014
140 	Avg Reward:  0.13232421875 	 Loss:  3.486938238143921 	 Wins:  0.0 	 Epsilon_actor:  0.5314410000000002 	 Epsilon_critic:  0.47829690000000014
141 	Avg Reward:  0.1455078125 	 Loss:  4.041782855987549 	 Wins:  0.0 	 Epsilon_actor:  0.5314410000000002 	 Epsilon_critic:  0.47829690000000014
142 	Avg Reward:  0.142578125 	 Loss:  4.032918930053711 	 Wins:  0.0 	 Epsilon_actor:  0.5314410000000002 	 Epsilon_critic:  0.47829690000000014
143 	Avg Reward:  0.13232421875 	 Loss:  6.542599201202393 	 Wins:  0.0 	 Epsilon_actor:  0.5314410000000002 	 Epsilon_critic:  0.47829690000000014
144 	Avg Reward:  0.150390625 	 Loss:  5.318835735321045 	 Wins:  1.639344262295082 	 Epsilon_actor:  0.5314410000000002 	 Epsilon_critic:  0.47829690000000014
145 	Avg Reward:  0.171875 	 Loss:  3.6184308528900146 	 Wins:  0.0 	 Epsilon_actor:  0.5314410000000002 	 Epsilon_critic:  0.47829690000000014
146 	Avg Reward:  0.1416015625 	 Loss:  3.956332206726074 	 Wins:  0.4065040650406504 	 Epsilon_actor:  0.5314410000000002 	 Epsilon_critic:  0.47829690000000014
147 	Avg Reward:  0.15576171875 	 Loss:  4.551146030426025 	 Wins:  0.0 	 Epsilon_actor:  0.5314410000000002 	 Epsilon_critic:  0.47829690000000014
148 	Avg Reward:  0.14892578125 	 Loss:  6.611217975616455 	 Wins:  0.4149377593360996 	 Epsilon_actor:  0.5314410000000002 	 Epsilon_critic:  0.47829690000000014
149 	Avg Reward:  0.12255859375 	 Loss:  4.6305084228515625 	 Wins:  0.3861003861003861 	 Epsilon_actor:  0.5314410000000002 	 Epsilon_critic:  0.47829690000000014
150 	Avg Reward:  0.14990234375 	 Loss:  6.276856422424316 	 Wins:  0.0 	 Epsilon_actor:  0.5314410000000002 	 Epsilon_critic:  0.47829690000000014
151 	Avg Reward:  0.1474609375 	 Loss:  6.644852161407471 	 Wins:  0.4132231404958678 	 Epsilon_actor:  0.5314410000000002 	 Epsilon_critic:  0.47829690000000014
152 	Avg Reward:  0.14306640625 	 Loss:  5.383520603179932 	 Wins:  0.40816326530612246 	 Epsilon_actor:  0.5314410000000002 	 Epsilon_critic:  0.47829690000000014
